row,company_name,segment_ref,status,slug,note
1,Spray Engineering Devices Limited,sugar-distillery-biofuel-equipment,done,spray-engineering-devices,batch 1
2,GRACURE PHARMACEUTICALS LTD,pharmaceutical-formulations,done,gracure-pharmaceuticals,batch 1
3,Eldorado Agritech Pvt. Ltd.,crop-seeds,done,eldorado-agritech,batch 1
4,Natesan Synchrocones Pvt. Ltd.,transmission-synchro-rings,done,natesan-synchrocones,batch 1
5,Garware Technical Fibres Ltd,nets-ropes-geosynthetics,done,garware-technical-fibres,batch 1
6,Spaco Technologies (I) Pvt. Ltd.,carburettors-throttle-bodies,done,spaco-technologies,batch 1
7,Mantra Softech (India) Pvt. Ltd.,biometric-identity-verification,done,mantra-softech,batch 1
8,FREDUN PHARMACEUTICALS LTD,pharmaceutical-formulations,done,fredun-pharmaceuticals,batch 1
9,JAISHIL SULPHUR & CHEMICAL INDUSTRIES,micronized-sulphur-zinc-formulations,done,jaishil-sulphur-chemical,batch 1
10,"LITMUS ORGANICS PVT. LTD.,",,deferred,,missing sector/segment_ref/cin (Identity step never run)
11,SUPRIYA LIFESCIENCE LTD.,active-pharmaceutical-ingredients,done,supriya-lifescience,batch 1
12,TATVA CHINTAN PHARMA CHEM LIMITED,phase-transfer-catalysts,done,tatva-chintan-pharma-chem,batch 1
13,SANDSTORM EQUIPMENT CO.,blasting-peening-systems,done,sandstorm-equipment-co,batch 1
14,Infinita Biotech Pvt. Ltd.,industrial-enzymatic-solutions,done,infinita-biotech,batch 1
15,Unisem Agritech Pvt. Ltd.,hybrid-crop-seeds,done,unisem-agritech,batch 1
16,Metlok Pvt. Ltd.,engineering-adhesives-sealants,done,metlok,batch 1
17,Nandani Medical Laboratories Pvt. Ltd.,pharmaceutical-formulations,done,nandani-medical-laboratories,batch 2
18,Ador Powertron Ltd.,electrostatic-precipitators-tr-sets,done,ador-powertron,batch 2
19,IP Rings Ltd.,piston-rings-cold-formed-transmission-products,done,ip-rings,batch 2
20,Naprod Life Sciences Pvt. Ltd.,oncology-anesthesia-formulations,done,naprod-life-sciences,batch 2
21,Mitra Industries Pvt. Ltd.,peritoneal-dialysis-systems,deferred,,zero pillar data (differentiation/moat/product_improvement/alignment/gap all blank)
22,Krish Biotech Research Pvt. Ltd.,agrochemical-pharmaceutical-cro,done,krish-biotech-research,batch 2
23,RV Lifesciences Ltd.,generic-finished-dosage-formulations,done,rv-lifesciences,batch 2
24,Biophore India Pharmaceuticals Pvt. Ltd.,active-pharmaceutical-ingredients,done,biophore-india-pharmaceuticals,batch 2
25,Themis Medicare Ltd.,injectable-formulations-apis,done,themis-medicare,batch 2
26,Nico Orgo Marketing Pvt. Ltd.,nicotine-derivatives-api,done,nico-orgo-marketing,batch 2
27,Stanford Laboratories Pvt. Ltd.,pharmaceutical-formulations,done,stanford-laboratories,batch 2
28,HOYA Surgical Optics,intraocular-lenses-injectors,done,hoya-surgical-optics,batch 2
29,Raghu Vamsi Group,aerospace-defense-components-uavs,done,raghu-vamsi-group,batch 2
30,PTC Industries Limited,aerospace-industrial-titanium-castings,done,ptc-industries,batch 2
31,GLINT COSMETICS PVT. LTD.,private-label-cosmetics-manufacturing,done,glint-cosmetics,batch 2
32,SHR Lifestyles Pvt Ltd,women-ethnic-wear,done,shr-lifestyles,batch 2
